job_title,company_name,company_location,salary_usd,experience_level,employment_type,remote_ratio,required_skills,industry,posting_date
AI Research Scientist,Smart Analytics,China,90376,SE,CT,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Automotive,2024-10-18
AI Software Engineer,TechCorp Inc,Canada,61895,EN,CT,100,"Deep Learning, AWS, Mathematics, Python, Docker",Media,2024-11-20
AI Specialist,Autonomous Tech,Switzerland,152626,MI,FL,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Education,2025-03-18
NLP Engineer,Future Systems,India,80215,SE,FL,50,"Scala, SQL, Linux, Python",Consulting,2024-12-23
AI Consultant,Advanced Robotics,France,54624,EN,PT,100,"MLOps, Java, Tableau, Python",Media,2025-04-15
AI Architect,Neural Networks Co,Germany,123574,SE,CT,50,"Data Visualization, R, SQL, Linux",Healthcare,2024-08-31
Principal Data Scientist,DataVision Ltd,United Kingdom,79670,MI,FL,0,"R, Docker, MLOps",Gaming,2024-12-29
NLP Engineer,Cloud AI Solutions,France,70640,EN,FL,0,"Python, SQL, Computer Vision, Java, Azure",Healthcare,2024-06-07
Data Analyst,Quantum Computing Inc,Singapore,160710,SE,CT,0,"Hadoop, Git, Mathematics, Python",Government,2024-11-04
AI Software Engineer,Cloud AI Solutions,Austria,102557,SE,PT,0,"MLOps, GCP, Scala, Azure, Linux",Government,2024-10-20
Autonomous Systems Engineer,Smart Analytics,Sweden,102322,SE,PT,100,"MLOps, Python, SQL",Telecommunications,2025-01-29
AI Architect,TechCorp Inc,South Korea,115047,EX,CT,0,"R, Data Visualization, Python, Azure",Manufacturing,2024-07-16
AI Consultant,Predictive Systems,France,124355,SE,CT,100,"Tableau, Python, TensorFlow",Automotive,2024-12-29
Autonomous Systems Engineer,Cloud AI Solutions,Norway,68760,EN,CT,0,"Scala, SQL, Statistics",Energy,2024-02-11
AI Research Scientist,Advanced Robotics,Sweden,150122,SE,FT,100,"PyTorch, Python, Data Visualization, GCP",Technology,2024-10-02
AI Product Manager,DataVision Ltd,United Kingdom,78846,EN,PT,0,"Linux, Statistics, Deep Learning",Consulting,2024-09-28
Principal Data Scientist,Predictive Systems,India,59823,EN,FT,100,"Tableau, NLP, Spark",Real Estate,2025-02-06
Machine Learning Engineer,AI Innovations,France,181139,EX,CT,100,"MLOps, PyTorch, Azure",Real Estate,2024-04-24
Data Engineer,Algorithmic Solutions,Singapore,155300,SE,CT,0,"Git, Hadoop, R, Python, Spark",Finance,2024-04-30
Research Scientist,AI Innovations,Netherlands,93851,MI,PT,100,"Java, Scala, NLP, Docker, Computer Vision",Transportation,2024-05-01
Data Engineer,AI Innovations,Norway,134197,MI,FT,0,"Deep Learning, AWS, Azure",Telecommunications,2024-06-21
Autonomous Systems Engineer,Cognitive Computing,United States,102550,MI,PT,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Automotive,2024-04-23
ML Ops Engineer,Quantum Computing Inc,Germany,99382,SE,CT,0,"Hadoop, Git, Tableau",Automotive,2025-03-13
